isotope	rewet	moisture	plot	mag_id	total_counts	rel_abund	expression_ra	map_frac	total_expression	domain	phylum	class	order	family	genus	species	highest_gtdb	group	feature_id	observed_EAF	mean_resampled_EAF	lower	upper	labeled_resamples	unlabeled_resamples	labeled_sources	unlabeled_sources	mean_resampled_EAF_0	logit_EAF	log_EAF	sqrt_EAF	total_expression_log10	total_expression_log10_cent	expression_ra_log10	expression_ra_log10_cent	expression_ra_mapping_scaled	expression_ra_mapping_scaled_log10	expression_ra_mapping_scaled_log10_cent
12C18O	168h	100	P14	MAG_001	18007.61237691874	0.003453099172874013	0.009555116794332399	0.09380000000000001	2773	Bacteria	Acidobacteriota	Thermoanaerobaculia	Multivoradales	UBA5704	UBA5704		UBA5704 _Genus_MAG_001	100_t168	12C16O_0h_100_P08_coass_bin.13	-0.02163215959944664	-0.01934687555939062	-0.12263183403158898	0.05901497055345666	1000	1000	3	3	0	-6.90875477931522	-6.907755278982137	0	3.4429498695778618	0.4670259568115143	-2.019763954646307	0.68934454602802	8.962699553083792e-4	-3.04756116171875	0.8092963590413171
12C18O	168h	100	P14	MAG_003	73214.91183199597	0.014039526517860805	0.009661935626147871	0.09380000000000001	2804	Bacteria	Gemmatimonadota	Gemmatimonadetes	Gemmatimonadales	GWC2-71-9	JACDDX01		JACDDX01 _Genus_MAG_003	100_t168	12C16O_0h_50_P09_coass_bin.29	-0.00173947156366367	-2.3950847164405363e-4	-0.06445875974673101	0.05479537795468488	1000	1000	3	3	0	-6.90875477931522	-6.907755278982137	0	3.447778009294621	0.4735499035368753	-2.014935815432043	0.6959538989496483	9.062895617326704e-4	-3.0427330220019906	0.8158946589089027
12C18O	168h	100	P14	MAG_004	106766.42486460405	0.02047328905542353	0.01781807030057441	0.09380000000000001	5171	Archaea	Thermoproteota	Nitrososphaeria	Nitrososphaerales	Nitrososphaeraceae	Nitrososphaera		Nitrososphaera _Genus_MAG_004	100_t168	12C16O_0h_50_P09_coass_bin.6	0.17543974523445005	0.1753145865647074	0.12091484952200636	0.2247570573431871	1000	1000	3	3	0.1753145865647074	-1.543944022411349	-1.7354854558215622	0.418705847301787	3.71357453777207	0.8327032199899193	-1.7491393075297843	1.059808967766303	0.0016713349941938798	-2.7769364935245417	1.179141230371958
12C18O	168h	100	P14	MAG_005	16681.062815431862	0.0031987230180752766	1.6195113210732881e-4	0.09380000000000001	47	Bacteria	Gemmatimonadota	Gemmatimonadetes	Gemmatimonadales	Gemmatimonadaceae	UBA4720		UBA4720 _Genus_MAG_005	100_t168	12C16O_0h_50_P10_coass_bin.13	0.05476334998812764	0.05677230088442283	-0.01630944495226918	0.12428586204241247	1000	1000	3	3	0	-6.90875477931522	-6.907755278982137	0	1.6720978579357175	-1.9258095575273486	-3.790613330109176	-1.734812665284598	1.5191016191667445e-5	-4.818413173360894	-1.6108101994686812
12C18O	168h	100	P14	MAG_006	207240.97636382325	0.039740062651768965	0.019285967795845092	0.09380000000000001	5597	Archaea	Thermoproteota	Nitrososphaeria	Nitrososphaerales	Nitrososphaeraceae	Nitrososphaera		Nitrososphaera _Genus_MAG_006	100_t168	12C16O_0h_50_P10_coass_bin.14	0.18533272662622471	0.18503046940923143	0.09973521531838724	0.26769843061929627	1000	1000	3	3	0.18503046940923143	-1.4784665399793855	-1.6818448046568626	0.43015168186260927	3.74795530690673	0.8791596854962671	-1.7147585402502694	1.1068736058354285	0.0018090237792502699	-2.7425557243898817	1.2261271582317632
12C18O	168h	100	P14	MAG_007	60995.44602704166	0.011696349289205356	0.03134960425345697	0.09380000000000001	9098	Bacteria	Pseudomonadota	Alphaproteobacteria	Rhizobiales	Beijerinckiaceae	Microvirga	Microvirga tunisiensis	Microvirga tunisiensis_MAG_007	100_t168	12C16O_0h_50_P10_coass_bin.29	0.01451269319727927	0.01613148138432641	-0.05295066271769374	0.07590589860540325	1000	1000	3	3	0	-6.90875477931522	-6.907755278982137	0	3.9589459324939362	1.164257400482326	-1.5037679233284713	1.3957036060699681	0.0029405928789742637	-2.531565098802675	1.5144741197004514
12C18O	168h	100	P14	MAG_008	62624.54021863639	0.012008740720550248	0.012735561367418878	0.09380000000000001	3696	Bacteria	Pseudomonadota	Gammaproteobacteria	Burkholderiales	SG8-39	SCGC-AG-212-J23		SCGC-AG-212-J23 _Genus_MAG_008	100_t168	12C16O_0h_50_P13_coass_bin.12	-0.02433558487775809	-0.02259689083331803	-0.09661384401148657	0.03937061322340265	1000	1000	3	3	0	-6.90875477931522	-6.907755278982137	0	3.567731962548069	0.6356357681620202	-1.8949818730266785	0.8601616619229031	0.0011945956562638908	-2.922779068748542	0.9798278092113213
12C18O	168h	100	P14	MAG_009	38826.4144054837	0.007445265738898598	0.0011922359938113993	0.09380000000000001	346	Bacteria	Actinomycetota	Actinomycetes	JAHEKZ01	JAHEKZ01	JAHEKZ01		JAHEKZ01 _Genus_MAG_009	100_t168	12C16O_0h_50_unf_bin.17	-0.00150341963919876	5.408521376150115e-5	-0.06598970248417424	0.05610746543255273	1000	1000	3	3	0	-6.90875477931522	-6.907755278982137	0	2.5390760987927767	-0.7543190483017654	-2.923637406614162	-0.5479890053527584	1.1183173621950926e-4	-3.951434932503835	-0.42596826293783085
12C18O	168h	100	P14	MAG_010	56551.00140350038	0.01084409260285498	0.001075079855691204	0.09380000000000001	312	Bacteria	Chloroflexota	Limnocylindria	Limnocylindrales	CSP1-4	SPCO01		SPCO01 _Genus_MAG_010	100_t168	12C16O_0h_50_unf_bin.20	-0.03593171613784753	-0.03429328864034843	-0.1147504310874158	0.02443784995758236	1000	1000	3	3	0	-6.90875477931522	-6.907755278982137	0	2.494154594018443	-0.8150185145896862	-2.9685588716925624	-0.6094830516682833	1.0084249046383493e-4	-3.996356437278169	-0.4873595184508708
12C18O	168h	100	P14	MAG_011	210213.01082794848	0.04030997328372916	0.01828669485305519	0.09380000000000001	5307	Bacteria	Pseudomonadota	Alphaproteobacteria	Rhizobiales	Beijerinckiaceae	JAJKJG01	JAJKJG01 sp036742625	JAJKJG01 sp036742625_MAG_011	100_t168	12C16O_168h_100_P08_coass_bin.1	-0.02640200408844926	-0.02424088009147882	-0.11761463314516254	0.04789663210497563	1000	1000	3	3	0	-6.90875477931522	-6.907755278982137	0	3.7248490876293854	0.847937775519916	-1.737864758297085	1.075242962438833	0.001715291977216577	-2.765661943667226	1.1945494134807406
